"","num_iterations","num_leaves","learning_rate","subsample","colsample_bytree","ROC_AUC_valid"
"1",500,40,0.05,0.8,0.8,0.761971296736432
"2",500,10,0.1,0.6,0.7,0.763178069387827
"3",100,40,0.01,0.6,0.6,0.733553321265607
"4",500,10,0.01,0.7,0.7,0.736976778429179
"5",100,30,0.1,0.8,0.8,0.756973753495079
"6",100,10,0.05,0.6,0.8,0.741350529043369
"7",100,20,0.05,0.8,0.6,0.766048555794029
"8",500,30,0.01,0.6,0.8,0.771699100682291
"9",50,20,0.1,0.7,0.7,0.752598402386657
"10",1000,10,0.01,0.8,0.7,0.741845081761248
"11",100,40,0.1,0.8,0.8,0.770668382396484
"12",100,20,0.1,0.7,0.8,0.756984956954708
"13",50,30,0.01,0.6,0.7,0.747620465199654
"14",100,30,0.1,0.7,0.6,0.761450335863715
"15",500,30,0.1,0.7,0.6,0.758623062801793
"16",1000,40,0.01,0.8,0.7,0.767606636929484
"17",50,20,0.01,0.7,0.7,0.729436449975753
"18",100,10,0.1,0.8,0.8,0.750296091433035
"19",1000,30,0.01,0.7,0.8,0.776409355208889
"20",50,30,0.1,0.8,0.6,0.762359816711401
"21",500,10,0.05,0.7,0.8,0.768190017077273
"22",1000,20,0.1,0.6,0.8,0.770369890222101
"23",100,30,0.05,0.6,0.6,0.757497115109146
"24",500,20,0.01,0.6,0.6,0.750401323928829
"25",50,40,0.05,0.8,0.8,0.745514214789527
"26",100,40,0.01,0.8,0.7,0.745788299426863
"27",500,10,0.05,0.7,0.7,0.779082180577362
"28",100,40,0.05,0.7,0.6,0.762096535410135
"29",50,10,0.1,0.7,0.6,0.740932800048655
"30",500,30,0.1,0.6,0.6,0.758623062801793
"31",500,20,0.05,0.7,0.8,0.769379984539226
"32",50,20,0.1,0.7,0.8,0.758312166797107
"33",1000,30,0.1,0.6,0.8,0.758102902176192
"34",500,40,0.1,0.8,0.6,0.762825160409534
"35",1000,40,0.05,0.6,0.6,0.770943667404494
"36",50,40,0.01,0.8,0.6,0.738635690701289
"37",500,20,0.05,0.8,0.7,0.770251453648887
"38",50,30,0.01,0.8,0.8,0.742939019569243
"39",100,30,0.1,0.6,0.8,0.756973753495079
"40",500,20,0.05,0.6,0.6,0.766771178940057
"41",50,20,0.05,0.6,0.8,0.77630932431935
"42",500,20,0.1,0.8,0.6,0.76153596230516
"43",1000,20,0.01,0.8,0.8,0.767973150108754
"44",1000,40,0.05,0.7,0.7,0.763751846570221
"45",100,20,0.05,0.6,0.7,0.75912241700237
"46",50,30,0.05,0.7,0.7,0.751325209224609
"47",100,10,0.01,0.6,0.8,0.721017450188618
"48",50,20,0.05,0.7,0.6,0.761605983927837
"49",1000,20,0.05,0.7,0.6,0.769638464357794
"50",1000,30,0.05,0.7,0.6,0.775493072260714
"51",500,40,0.01,0.7,0.6,0.753535091636297
"52",50,40,0.1,0.8,0.6,0.752783259470524
"53",100,10,0.05,0.7,0.7,0.762737533350299
"54",50,10,0.05,0.7,0.8,0.745216122738702
"55",500,30,0.01,0.7,0.8,0.771699100682291
"56",1000,10,0.1,0.8,0.8,0.764502478365319
"57",100,20,0.01,0.6,0.8,0.741553791810911
"58",50,20,0.1,0.8,0.7,0.752598402386657
"59",50,30,0.1,0.6,0.6,0.762359816711401
"60",500,10,0.1,0.8,0.8,0.767036060735555
"61",1000,30,0.05,0.6,0.8,0.760977389817976
"62",500,40,0.05,0.7,0.7,0.762097735780809
"63",1000,40,0.01,0.6,0.6,0.764871392285938
"64",1000,10,0.05,0.8,0.6,0.768162008428203
"65",100,40,0.1,0.7,0.6,0.759565753904806
"66",100,20,0.05,0.8,0.7,0.75912241700237
"67",500,30,0.1,0.7,0.7,0.768959854803163
"68",100,20,0.1,0.7,0.6,0.765794877458159
"69",100,20,0.01,0.7,0.8,0.741553791810911
"70",500,20,0.1,0.6,0.6,0.76153596230516
"71",500,40,0.01,0.6,0.7,0.764950616750453
"72",1000,40,0.1,0.7,0.7,0.771674293021685
"73",50,10,0.05,0.7,0.7,0.753987231257012
"74",500,30,0.1,0.8,0.8,0.756204716016306
"75",100,10,0.1,0.6,0.6,0.732804289964741
"76",1000,10,0.01,0.6,0.6,0.742742959025747
"77",50,40,0.01,0.6,0.6,0.738635690701289
"78",50,10,0.01,0.8,0.8,0.724538137376822
"79",500,10,0.01,0.8,0.7,0.736976778429179
"80",1000,10,0.05,0.6,0.8,0.767600234952553
"81",100,20,0.1,0.8,0.7,0.7612974886645
"82",50,30,0.1,0.7,0.6,0.762359816711401
"83",50,30,0.05,0.6,0.6,0.743805687196206
"84",500,10,0.01,0.6,0.8,0.738278780487414
"85",100,40,0.1,0.8,0.7,0.758627064037375
"86",100,30,0.05,0.7,0.8,0.751497262354615
"87",50,30,0.05,0.8,0.6,0.743805687196206
"88",100,40,0.01,0.8,0.6,0.733553321265607
"89",100,40,0.01,0.6,0.7,0.745788299426863
"90",1000,40,0.01,0.7,0.6,0.764871392285938
"91",500,20,0.01,0.7,0.7,0.761828852749729
"92",500,10,0.05,0.7,0.6,0.76429841535066
"93",500,20,0.01,0.6,0.7,0.761828852749729
"94",500,40,0.1,0.6,0.8,0.771283772428926
"95",50,20,0.1,0.7,0.6,0.755534909179955
"96",50,20,0.05,0.6,0.7,0.758488221162695
"97",1000,20,0.1,0.8,0.6,0.763966312797392
"98",500,10,0.01,0.7,0.6,0.738268777398461
"99",100,30,0.05,0.7,0.6,0.757497115109146
"100",100,10,0.1,0.6,0.7,0.739045817348397
"101",1000,30,0.1,0.7,0.7,0.76539795488847
"102",100,10,0.01,0.8,0.6,0.710459789983147
"103",100,30,0.01,0.8,0.8,0.74418220346443
"104",100,20,0.05,0.7,0.7,0.75912241700237
"105",500,40,0.05,0.8,0.6,0.769645666581841
"106",1000,10,0.05,0.7,0.7,0.783438725878551
"107",100,40,0.05,0.6,0.7,0.760722911234989
"108",50,10,0.1,0.8,0.7,0.737098415990858
"109",100,40,0.01,0.6,0.8,0.74850593863385
"110",100,20,0.05,0.6,0.8,0.777455278189905
"111",1000,20,0.1,0.7,0.7,0.766690353981309
"112",100,10,0.05,0.7,0.8,0.741350529043369
"113",1000,20,0.1,0.8,0.7,0.766690353981309
"114",50,10,0.05,0.8,0.6,0.738624887365218
"115",500,30,0.01,0.8,0.6,0.750447738261575
"116",1000,10,0.01,0.7,0.8,0.750430532948575
"117",100,30,0.01,0.6,0.7,0.739877674225801
"118",100,20,0.01,0.8,0.6,0.72615183568686
"119",500,40,0.01,0.8,0.7,0.764950616750453
"120",1000,40,0.01,0.6,0.7,0.767606636929484
